"Timestamp","Din TBF","Jordnötens nummer","Betygsätt totalupplevelsen","Salt","Knaprig","Rostad","Flottig","Kommentar"
"2016-09-24 18:43:27 +0200","PTP","8","2","4","3","2","5","Vinäger."
"2016-09-24 18:43:55 +0200","KTB","10","3","6","5","3","4","Umami"
"2016-09-24 18:43:55 +0200","LED","17","6","6","5","5","4",""
"2016-09-24 18:44:08 +0200","GIS","10","2","4","5","5","3","Bismak"
"2016-09-24 18:44:37 +0200","HVB","8","5","3","5","3","7",""
"2016-09-24 18:44:44 +0200","KTB","3","4","5","6","4","6","Mild"
"2016-09-24 18:44:58 +0200","OSV","13","4","6","4","4","3",""
"2016-09-24 18:45:06 +0200","LED","10","2","4","5","4","5","Mjölig eftersmak"
"2016-09-24 18:45:08 +0200","IFK","6","3","1","4","6","1",""
"2016-09-24 18:45:17 +0200","GIS","3","5","4","3","4","5","Ok"
"2016-09-24 18:45:21 +0200","HVB","16","5","6","5","3","5",""
"2016-09-24 18:45:53 +0200","KTB","2","5","6","5","5","5","Mellannöten"
"2016-09-24 18:46:07 +0200","LED","3","6","4","5","4","4",""
"2016-09-24 18:46:14 +0200","HVB","19","6","7","5","3","5",""
"2016-09-24 18:46:22 +0200","PSI","1","1","1","6","1","1","Smakar råa torkade ärtor."
"2016-09-24 18:46:32 +0200","IFK","18","5","4","5","5","4",""
"2016-09-24 18:46:34 +0200","PTP","9","5","1","3","6","1","Solrosfrö"
"2016-09-24 18:46:48 +0200","GIS","8","5","4","5","5","4","Ok"
"2016-09-24 18:47:11 +0200","NPV","6","5","3","6","6","5",""
"2016-09-24 18:47:13 +0200","KTB","8","7","6","4","4","5","Syrlig"
"2016-09-24 18:47:25 +0200","OSV","14","2","5","7","6","2",""
"2016-09-24 18:47:35 +0200","LED","2","7","4","5","4","4","En nöt för alla tillfällen!"
"2016-09-24 18:48:09 +0200","IFK","17","6","4","5","6","4",""
"2016-09-24 18:48:23 +0200","GIS","5","3","3","4","3","5","Blek"
"2016-09-24 18:48:30 +0200","PTP","7","3","1","3","3","1","Snäll "
"2016-09-24 18:48:41 +0200","NDF","20","4","4","5","5","5",""
"2016-09-24 18:48:46 +0200","OSV","12","5","3","7","5","2",""
"2016-09-24 18:49:17 +0200","JPY","12","6","4","7","5","1",""
"2016-09-24 18:49:22 +0200","DDR","12","7","5","7","6","3",""
"2016-09-24 18:49:52 +0200","LED","8","6","4","5","4","6","Sötsyrlig wierdness"
"2016-09-24 18:49:52 +0200","GIS","16","5","6","5","4","5","God"
"2016-09-24 18:49:56 +0200","NDF","15","5","5","3","4","1",""
"2016-09-24 18:50:11 +0200","WWW","20","5","2","6","4","3","Speciell "
"2016-09-24 18:50:13 +0200","DDR","13","4","3","4","4","4",""
"2016-09-24 18:50:23 +0200","ATG","12","5","2","7","7","1",""
"2016-09-24 18:50:38 +0200","NDF","9","1","1","2","2","1",""
"2016-09-24 18:50:46 +0200","IFK","3","5","5","6","7","4",""
"2016-09-24 18:51:39 +0200","KTB","5","4","6","6","4","6","Opersonlig men bra knaper"
"2016-09-24 18:51:58 +0200","LED","16","5","6","5","5","4",""
"2016-09-24 18:51:58 +0200","NDF","12","6","5","4","4","2",""
"2016-09-24 18:52:23 +0200","ATG","14","6","4","7","7","2",""
"2016-09-24 18:52:31 +0200","WWW","15","4","2","3","5","3",""
"2016-09-24 18:52:49 +0200","PSI","2","6","5","6","6","6",""
"2016-09-24 18:52:56 +0200","IFK","2","5","3","7","5","4",""
"2016-09-24 18:53:12 +0200","JPY","9","4","2","3","3","2",""
"2016-09-24 18:53:18 +0200","NDF","14","4","3","3","4","2",""
"2016-09-24 18:53:20 +0200","LED","5","5","4","6","5","4",""
"2016-09-24 18:53:22 +0200","KTB","16","5","6","5","5","5","Trevlig"
"2016-09-24 18:53:42 +0200","PTP","6","1","1","2","3","2","Njä"
"2016-09-24 18:54:02 +0200","ATG","13","2","4","5","5","5",""
"2016-09-24 18:54:02 +0200","NDF","13","4","5","4","5","5",""
"2016-09-24 18:54:44 +0200","PSI","3","3","4","6","7","6",""
"2016-09-24 18:54:49 +0200","WWW","9","6","3","4","7","3",""
"2016-09-24 18:54:53 +0200","IFK","8","7","4","5","4","5","Gott med vinäger!"
"2016-09-24 18:54:53 +0200","GIS","7","3","2","4","3","4","Smakar lite"
"2016-09-24 18:54:59 +0200","NDF","4","2","1","3","2","2",""
"2016-09-24 18:55:08 +0200","JPY","20","5","3","5","4","2","Växtig smak."
"2016-09-24 18:55:13 +0200","DDR","14","7","5","6","6","4",""
"2016-09-24 18:55:44 +0200","DDR","15","5","5","5","5","4",""
"2016-09-24 18:55:55 +0200","PTP","5","4","3","4","4","6","En vanlig jävla jordnöt"
"2016-09-24 18:55:56 +0200","ATG","4","1","2","2","2","3",""
"2016-09-24 18:55:59 +0200","GIS","19","5","4","5","5","4","Ok"
"2016-09-24 18:56:03 +0200","PSI","4","2","1","4","4","2",""
"2016-09-24 18:56:11 +0200","KTB","17","6","5","4","4","7","Smör!"
"2016-09-24 18:57:33 +0200","IFK","16","4","3","5","6","5",""
"2016-09-24 18:58:10 +0200","JPY","15","3","2","7","2","1","Trist bismak. Lite seg."
"2016-09-24 18:59:39 +0200","GIS","11","6","6","5","4","5","God"
"2016-09-24 19:00:25 +0200","KTB","11","6","6","5","3","6","Mycket jord"
"2016-09-24 19:00:36 +0200","IFK","5","3","3","4","4","3","Smakar lite härsket eller frö."
"2016-09-24 19:00:48 +0200","NDF","1","6","5","5","1","1",""
"2016-09-24 19:01:00 +0200","GIS","17","6","6","5","5","6","God"
"2016-09-24 19:01:10 +0200","PTP","4","3","2","4","6","4",""
"2016-09-24 19:01:13 +0200","PSI","5","3","3","5","6","2","Lätt unken ton. Jordkällartömning. "
"2016-09-24 19:01:40 +0200","JPY","11","2","6","2","4","6","Mjölig"
"2016-09-24 19:01:47 +0200","WWW","12","4","4","4","7","3",""
"2016-09-24 19:02:03 +0200","IFK","10","3","4","6","2","3",""
"2016-09-24 19:02:09 +0200","KTB","7","3","3","4","2","3","Osalt"
"2016-09-24 19:02:11 +0200","NDF","18","5","5","3","5","5",""
"2016-09-24 19:02:24 +0200","ATG","1","5","1","7","1","1",""
"2016-09-24 19:02:45 +0200","PTP","3","5","5","4","5","5","Brödigt"
"2016-09-24 19:03:02 +0200","KTB","19","5","6","6","4","6","God"
"2016-09-24 19:03:02 +0200","NDF","6","2","2","2","4","4",""
"2016-09-24 19:03:26 +0200","ARN","19","6","6","5","4","5",""
"2016-09-24 19:03:52 +0200","IFK","11","5","3","6","6","5",""
"2016-09-24 19:03:58 +0200","ARN","7","4","3","4","3","5",""
"2016-09-24 19:03:58 +0200","GIS","2","5","5","5","4","5","God"
"2016-09-24 19:04:02 +0200","PTP","2","2","6","3","5","3",""
"2016-09-24 19:04:06 +0200","PSI","6","4","1","6","5","2",""
"2016-09-24 19:04:21 +0200","DDR","16","5","7","5","4","5",""
